DEBUG: 2019-12-22 16:44:56,031  Starting new HTTPS connection (1): www.quandl.com:443
DEBUG: 2019-12-22 16:44:59,041  https://www.quandl.com:443 "GET /api/v3/datasets/BSE/BOM504067.json?api_key=fKXsYh9Qi9ySbS8X6pNh HTTP/1.1" 200 None
INFO: 2019-12-22 16:45:01,450  Year 2019, Average: 221.2682773109243
INFO: 2019-12-22 16:45:01,450  Year 2018, Average: 860.5914634146343
INFO: 2019-12-22 16:45:01,451  Year 2017, Average: 853.1969758064512
INFO: 2019-12-22 16:45:01,452  Year 2016, Average: 974.8269230769232
INFO: 2019-12-22 16:45:01,452  Year 2015, Average: 793.3181451612907
INFO: 2019-12-22 16:45:01,453  Year 2014, Average: 457.79938524590165
INFO: 2019-12-22 16:45:01,453  Year 2013, Average: 257.52560000000005
INFO: 2019-12-22 16:45:01,454  Year 2012, Average: 227.31035856573726
INFO: 2019-12-22 16:45:01,454  Year 2011, Average: 150.00445344129548
INFO: 2019-12-22 16:45:01,455  Year 2010, Average: 244.3474206349207
INFO: 2019-12-22 16:45:01,455  Year 2009, Average: 158.7353305785124
INFO: 2019-12-22 16:45:01,455  Year 2008, Average: 123.95772357723577
INFO: 2019-12-22 16:45:01,456  Year 2007, Average: 243.25943775100404
INFO: 2019-12-22 16:45:01,456  Year 2006, Average: 217.13079999999994
INFO: 2019-12-22 16:45:01,456  Year 2005, Average: 181.1693227091633
INFO: 2019-12-22 16:45:01,457  Year 2004, Average: 113.50905511811023
INFO: 2019-12-22 16:45:01,457  Year 2003, Average: 86.96555118110231
INFO: 2019-12-22 16:45:01,458  Year 2002, Average: 105.81454183266936
INFO: 2019-12-22 16:45:01,458  Year 2001, Average: 75.41585365853653
INFO: 2019-12-22 16:45:01,458  Year 2000, Average: 331.46740000000005
INFO: 2019-12-22 16:45:01,459  Year 1999, Average: 414.1584677419355
INFO: 2019-12-22 16:45:01,459  Year 1998, Average: 58.63879310344829
INFO: 2019-12-22 16:45:01,459  Year 1997, Average: 14.579533678756478
INFO: 2019-12-22 16:45:01,460  Year 1996, Average: 31.57464788732394
INFO: 2019-12-22 16:45:01,460  Year 1995, Average: 55.992753623188406
INFO: 2019-12-22 16:45:01,460  Year 1994, Average: 58.04222222222222
INFO: 2019-12-22 16:45:01,460  Year 1993, Average: 22.951612903225808
INFO: 2019-12-22 16:45:01,461  Year 1992, Average: 43.01442307692308
INFO: 2019-12-22 16:45:01,461  Year 1991, Average: 28.660810810810812
